IP Source,PERMIT,PERMIT TCP,PERMIT UDP,DENY,Nb Port Dest,Nb Port Src,Port Dest Well-Known,Port Dest Registered,Port Dest Dynamic/Private
1.0.255.245,0,0,0,1,1,1,0,1,0
1.1.136.123,0,0,0,1,1,1,0,1,0
1.10.247.195,0,0,0,1,1,1,0,1,0
1.11.45.8,2,0,0,0,1,2,0,0,2
1.117.220.131,0,0,0,2,1,1,0,2,0
1.117.3.64,4,0,0,0,1,1,0,4,0
1.119.176.126,1,0,0,0,1,1,0,1,0
1.125.21.248,5,0,0,0,1,5,0,5,0
1.13.3.234,2,0,0,0,1,1,0,2,0
1.13.5.215,2,0,0,0,1,1,0,2,0
1.147.48.234,1,0,0,0,1,1,0,1,0
1.147.78.157,1,0,0,0,1,1,0,1,0
1.152.19.6,1,0,0,0,1,1,0,1,0
1.158.130.88,1,0,0,0,1,1,0,1,0
1.160.195.218,0,0,0,1,1,1,0,1,0
1.161.188.104,0,0,0,2,1,1,0,2,0
1.168.224.188,0,0,0,1,1,1,0,1,0
1.169.175.160,0,0,0,1,1,1,0,1,0
1.169.93.180,24,0,0,0,1,24,0,0,24
1.171.127.69,0,0,0,1,1,1,0,1,0
1.175.150.18,0,0,0,1,1,1,0,1,0
1.177.63.27,0,0,0,1,1,1,0,1,0
1.182.138.76,0,0,0,2,1,1,0,2,0
1.2.134.97,0,0,0,1,1,1,0,1,0
1.2.145.221,0,0,0,6,2,1,0,6,0
1.2.156.24,0,0,0,1,1,1,0,1,0
1.2.188.32,0,0,0,1,1,1,0,1,0
1.202.196.27,4,0,0,0,1,2,0,4,0
1.205.25.27,0,0,0,2,1,1,0,2,0
1.206.35.183,0,0,0,2,1,1,0,2,0
1.222.161.50,0,0,0,1,1,1,0,1,0
1.228.69.2,0,0,0,1,1,1,0,1,0
1.245.155.30,0,0,0,1,1,1,0,1,0
1.245.170.252,0,0,0,15,2,1,0,15,0
1.248.100.71,0,0,0,2,1,1,0,2,0
1.249.213.124,23,0,0,0,1,23,0,23,0
1.25.58.99,0,0,0,1,1,1,0,0,1
1.252.196.126,0,0,0,4,1,1,0,4,0
1.252.235.244,0,0,0,2,1,1,0,2,0
1.29.27.119,0,0,0,1,1,1,0,1,0
1.32.253.86,1,0,0,0,1,1,0,1,0
1.34.156.171,0,0,0,1,1,1,0,1,0
1.34.202.45,1,0,0,0,1,1,0,0,1
1.34.246.252,0,0,0,1,1,1,0,1,0
1.34.55.95,0,0,0,1,1,1,0,1,0
1.34.69.11,0,0,0,4,1,1,0,4,0
1.40.181.86,1,0,0,0,1,1,0,1,0
1.48.183.96,0,0,0,2,1,1,0,2,0
1.48.189.27,0,0,0,2,1,1,0,2,0
1.53.8.67,0,0,0,1,1,1,0,1,0
1.54.176.46,0,0,0,1,1,1,0,1,0
1.54.209.193,0,0,0,1,1,1,0,1,0
1.54.66.241,0,0,0,1,1,1,0,1,0
1.56.203.26,0,0,0,2,1,1,0,2,0
1.62.25.226,0,0,0,2,1,1,0,2,0
1.63.226.147,2,0,0,0,1,1,0,2,0
1.69.109.144,0,0,0,2,1,1,0,2,0
1.69.110.52,0,0,0,2,1,1,0,2,0
1.69.183.160,0,0,0,2,1,1,0,2,0
1.69.235.67,0,0,0,2,1,1,0,2,0
1.70.10.124,0,0,0,1,1,1,0,1,0
1.70.103.184,0,0,0,4,1,2,0,4,0
1.70.124.39,0,0,0,2,1,1,0,2,0
1.70.128.184,0,0,0,2,1,1,0,2,0
1.70.129.172,0,0,0,1,1,1,0,0,1
1.70.178.253,0,0,0,2,1,1,0,2,0
1.70.96.172,0,0,0,2,1,1,0,2,0
1.72.0.150,1,0,0,0,1,1,0,1,0
1.84.119.26,0,0,0,1,1,1,0,1,0
1.9.201.178,0,0,0,1,1,1,0,1,0
1.94.109.60,1,0,0,0,1,1,0,1,0
10.197.101.177,0,0,0,1,1,1,0,1,0
100.1.120.130,0,0,0,1,1,1,0,1,0
100.11.180.16,24,0,0,0,1,24,0,24,0
100.12.84.76,135,0,0,0,1,135,0,135,0
100.14.6.40,6,0,0,0,1,6,0,6,0
100.15.226.206,6,0,0,0,1,6,0,6,0
100.17.1.13,1,0,0,0,1,1,0,1,0
100.18.9.108,12,0,0,0,1,12,0,12,0
100.2.41.222,0,0,0,1,1,1,0,1,0
100.24.29.189,2,0,0,0,1,2,0,2,0
100.24.38.136,2,0,0,0,1,2,0,2,0
100.26.140.82,2,0,0,0,1,2,0,2,0
100.26.22.196,36,0,0,0,2,36,0,24,12
100.26.29.10,1,0,0,0,1,1,0,1,0
100.27.22.63,2,0,0,0,2,2,0,1,1
100.27.34.37,3,0,0,0,1,3,0,3,0
100.38.177.18,1,0,0,0,1,1,0,1,0
100.6.116.131,8,0,0,0,1,7,0,8,0
100.8.212.104,1,0,0,0,1,1,0,1,0
100.92.36.120,24,0,0,0,2,24,0,10,14
100.92.36.121,6,0,0,0,2,6,0,1,5
100.92.37.182,14,0,0,0,2,14,0,6,8
100.92.38.121,13,0,0,0,2,13,0,5,8
100.92.38.158,30,0,0,0,2,30,0,12,18
100.92.38.165,12,0,0,0,2,12,0,6,6
100.92.39.235,6,0,0,0,2,6,0,1,5
101.108.101.83,0,0,0,2,1,1,0,2,0
101.108.102.143,0,0,0,2,1,1,0,2,0
101.109.212.165,0,0,0,1,1,1,0,1,0
101.109.229.236,0,0,0,1,1,1,0,1,0
101.115.153.238,1,0,0,0,1,1,0,1,0
101.12.42.209,1,0,0,0,1,1,0,1,0
101.127.227.53,0,0,0,1,1,1,0,1,0
101.127.250.66,0,0,0,2,1,1,0,2,0
101.13.2.179,0,0,0,1,1,1,0,1,0
101.13.2.183,0,0,0,1,1,1,0,1,0
101.132.103.81,0,0,0,1,1,1,0,1,0
101.132.69.15,0,0,0,2,2,2,0,2,0
101.168.42.126,0,0,0,1,1,1,0,1,0
101.198.192.11,84,0,0,0,1,84,0,84,0
101.198.192.15,240,0,0,0,1,240,0,240,0
101.200.130.203,0,0,0,1,1,1,0,1,0
101.200.139.21,15,0,0,0,1,15,0,15,0
101.207.113.73,2,0,0,0,1,1,0,2,0
101.227.237.110,1,0,0,0,1,1,0,0,1
101.227.67.99,0,0,0,1,1,1,0,1,0
101.24.130.21,0,0,0,1,1,1,0,1,0
